2018-03-26 11:25:55,"RT @ShemaleShy: #Lusty #Brazilian #masseuse #NataliaCastro helps #tattooed #guy #Aleman #relax
#ShemaleShy #JustDoeIt #LetsDoeIt #GeneralEl…"
2018-03-26 11:18:03,Dog bound for Kansas mistakenly shipped to Japan via United Airlines CNN #UnitedAirlines https://t.co/WWofGWTjDO
2018-03-26 10:56:50,"RT @MissCindrich: “If we’re to learn any lessons from this latest tragedy, they are simple lessons. One, never put your pet in the overhead…"
2018-03-26 10:46:53,I fellew @united from San Francisco via London and connected with @flysaa to Johannesburg and this is the result.… https://t.co/gzeSo7ZWIE
2018-03-26 10:08:03,RT @greene_lizzy: HEARTBROKEN about the incident aboard #UnitedAirlines Animals are so vulnerable to humans and how we care for them.   I l…
2018-03-26 10:06:37,RT @Michaelcraddo16: Anti-NRA Delta Airlines Offers FREE FLIGHTS to #MarchForOurLives Protesters https://t.co/bXS0PlRBLu via @truthfeednews…
2018-03-26 08:00:51,RT @MikeBermanNBC: #UnitedAirlines Flight attendant: “Congratulations to all the #Loyola fans and Sister Jean!”
2018-03-26 07:57:49,"RT @PlanetsPlanes: A United Airlines passenger who got bumped from her flight ended up with a $10,000 travel vouche… https://t.co/UGG60QH8UG"
2018-03-26 07:51:14,"RT @PlanetsPlanes: A United Airlines passenger who got bumped from her flight ended up with a $10,000 travel voucher for her troubles.
#Uni…"
2018-03-26 07:47:48,"A United Airlines passenger who got bumped from her flight ended up with a $10,000 travel voucher for her troubles.… https://t.co/vXtQlVlZSo"
2018-03-26 07:35:35,"United Airlines killed a dog
https://t.co/aUMWb8ZHvj

#unitedairlines #dogkiller #dog #murder #unitedkilling #killerairlines #animalcruelty"
2018-03-26 07:06:53,RT @MattWilsonDubai: This weeks #Brand Inc. is out! https://t.co/SOV7EzFY0U #design #unitedairlines
2018-03-26 07:02:54,This weeks #Brand Inc. is out! https://t.co/SOV7EzFY0U #design #unitedairlines
2018-03-26 06:07:14,RT @realchadtepper: Worst airline I’ve ever been on in my entire life  Seat was broken no Wi-Fi no entertainment system at all 5 1/2 hours…
2018-03-26 06:03:37,RT @toddrphoto: You know what’s amazing? Seeing the @united #ORD flight crew who brought us to Beijing attending the @BienenSchoolNU concer…
2018-03-26 05:56:30,You know what’s amazing? Seeing the @united #ORD flight crew who brought us to Beijing attending the… https://t.co/CuPYwwOdkT
2018-03-26 04:31:03,RT @Michaelcraddo16: Anti-NRA Delta Airlines Offers FREE FLIGHTS to #MarchForOurLives Protesters https://t.co/bXS0PlRBLu via @truthfeednews…
2018-03-26 04:21:26,Anti-NRA Delta Airlines Offers FREE FLIGHTS to #MarchForOurLives Protesters https://t.co/bXS0PlRBLu via… https://t.co/v1J2ziQwY6
2018-03-26 04:05:41,"@JangoBear @BSNW33 @mitchellvii Old America is over

You won't be ""making it great"" again

#Trump stabbed us in the… https://t.co/HgSYqDarjF"
2018-03-26 02:44:51,3rd day in Hawaii and still no suitcase!!!  Maybe someone will reply to social media posts because no one on the ph… https://t.co/huSSICi930
2018-03-26 02:38:45,Hey @united thanks for charging me a $200 change fee to fly home for my grandmother’s funeral. Luckily I have a dog… https://t.co/ohmHEK1Jyl
2018-03-26 02:27:19,"RT @LeahR77: New United Airlines Motto : Fly with us we snub millions of law abiding NRA members &amp; Kill puppies 🐶
 #UnitedAirlines"
2018-03-26 02:26:56,RT @PrancerPaw: Unbelievable .@united that nobody paid attention to this puppy's cries for help. This attendant must be fired &amp; what is up…
2018-03-26 02:23:23,"RT @abfabincali: #UnitedAirlines @united Another FAILURE by a United Flight Attendant, this time costing a 10 month old puppy its life. Own…"
2018-03-26 02:22:13,"RT @abfabincali: #UnitedAirlines @united Another FAILURE by a United Flight Attendant, this time costing a 10 month old puppy its life. Own…"
2018-03-26 02:17:44,"RT @abfabincali: #UnitedAirlines @united Another FAILURE by a United Flight Attendant, this time costing a 10 month old puppy its life. Own…"
2018-03-26 02:17:40,"RT @abfabincali: #UnitedAirlines @united Another FAILURE by a United Flight Attendant, this time costing a 10 month old puppy its life. Own…"
2018-03-26 02:16:34,"RT @LeahR77: New United Airlines Motto : Fly with us we snub millions of law abiding NRA members &amp; Kill puppies 🐶
 #UnitedAirlines"
2018-03-26 02:16:30,"RT @LeahR77: New United Airlines Motto : Fly with us we snub millions of law abiding NRA members &amp; Kill puppies 🐶
 #UnitedAirlines"
2018-03-26 02:07:47,I'd love for @united to take me back to Rome! Loved seeing all of the history and architecture but left way to soon… https://t.co/i6jVSjaowt
2018-03-26 01:59:53,RT @sexytexanbabe1: .@united you suck because I cannot cancel a trip a month in advance when I lost my dad NYD and my mom just broke her le…
2018-03-26 01:58:15,RT @sexytexanbabe1: .@united you suck because I cannot cancel a trip a month in advance when I lost my dad NYD and my mom just broke her le…
2018-03-26 01:53:29,.@united you suck because I cannot cancel a trip a month in advance when I lost my dad NYD and my mom just broke he… https://t.co/6XUbTNLxME
2018-03-26 01:42:04,@united guess you guys don’t give a shit about your customers. Calling customer service is no better. Flying United… https://t.co/ps2kk7CbKQ
2018-03-26 01:21:24,@united truely deserving of the negative press lately. Delayed my first flight to Europe due to a sick flight atten… https://t.co/PgSaj9M1TY
2018-03-26 01:19:56,"RT @GantTravel: Have you entered yet? Daily winners and 1 Grand Prize winner! #GantAwayWithUA #GantTravel #UnitedAirlines

https://t.co/vb8…"
2018-03-26 01:09:17,"My favorite thing about @united is all the great places they have taken me, the friendly smiles when I board the pl… https://t.co/DonxiZ1VxZ"
2018-03-26 01:06:08,RT @MikeBermanNBC: #UnitedAirlines Flight attendant: “Congratulations to all the #Loyola fans and Sister Jean!”
2018-03-26 00:47:19,"@davidfrum If you’re on #UnitedAirlines, you have bigger things to worry about."
2018-03-26 00:45:09,Rude on-flight air staff on #UnitedAirlines 8:59 flight to Raleigh. Not at all surprised. I thought they were tryin… https://t.co/01idVaxLKO
